Burkholderia gladioli	CP022210.1
Burkholderia gladioli	PDDZ01000001.1
Burkholderia gladioli	PDDZ01000002.1
Burkholderia gladioli	PDDZ01000003.1
Burkholderia gladioli	PDDZ01000004.1
Burkholderia gladioli	PDDY01000001.1
Burkholderia gladioli	PDDY01000002.1
Burkholderia gladioli	PDDY01000003.1
Burkholderia gladioli	PDDY01000004.1
Burkholderia glumae	CP066793.1
Burkholderia glumae	CP066792.1
Burkholderia glumae	CP066791.1
Burkholderia glumae	CP066790.1
Burkholderia glumae	CP066789.1
Burkholderia glumae	CP065603.1
Burkholderia glumae	CP065602.1
Burkholderia glumae	CP065601.1
Burkholderia glumae	CP065600.1
Burkholderia glumae	NJFN02000001.1
Burkholderia glumae	NJFN02000002.1
Burkholderia glumae	NJFN02000003.1
Burkholderia glumae	NJFN02000004.1
Burkholderia humptydooensis	CP065687.1
Burkholderia humptydooensis	CP065686.1
Burkholderia humptydooensis	CP065685.1
Burkholderia mallei	RKJZ01000001.1
Burkholderia mallei	RKJZ01000002.1
Burkholderia mallei	RKJW01000001.1
Burkholderia mallei	RKJW01000002.1
Burkholderia mallei	RKJU01000001.1
Burkholderia mallei	RKJU01000002.1
Burkholderia mallei	RKJV01000001.1
Burkholderia mallei	RKJV01000002.1
Burkholderia mallei	CM012067.1
Burkholderia mallei	CM012068.1
Burkholderia mallei	CM012066.1
Burkholderia mallei	CM012065.1
Burkholderia mallei	RKJX01000001.1
Burkholderia mallei	RKJX01000002.1
Burkholderia mallei	RKJX01000003.1
Burkholderia mallei	RKJY01000001.1
Burkholderia mallei	RKJY01000002.1
Burkholderia multivorans	CP050895.1
Burkholderia multivorans	CP050894.1
Burkholderia multivorans	CP050893.1
Burkholderia multivorans	CP050892.1
Burkholderia multivorans	CP046346.1
Burkholderia multivorans	CP046345.1
Burkholderia multivorans	CP046344.1
Burkholderia multivorans	CP046343.1
Burkholderia multivorans	CP046342.1
Burkholderia multivorans	CP046341.1
Burkholderia multivorans	CP046340.1
Burkholderia multivorans	CP046339.1
Burkholderia multivorans	CP046338.1
Burkholderia multivorans	CP046337.1
Burkholderia multivorans	CP046336.1
Burkholderia multivorans	CP033856.1
Burkholderia multivorans	CP033855.1
Burkholderia multivorans	CP033854.1
Burkholderia multivorans	CP020397.1
Burkholderia multivorans	CP020399.1
Burkholderia multivorans	CP020398.1
Burkholderia multivorans	CP033747.1
Burkholderia multivorans	CP033746.1
Burkholderia multivorans	CP033745.1
Burkholderia multivorans	CP033750.1
Burkholderia multivorans	CP033749.1
Burkholderia multivorans	CP033748.1
Burkholderia multivorans	CP044058.1
Burkholderia multivorans	CP044057.1
Burkholderia multivorans	CP044056.1
Burkholderia multivorans	CP044055.1
Burkholderia multivorans	CP044054.1
Burkholderia multivorans	CP044053.1
Burkholderia multivorans	RKIM01000001.1
Burkholderia multivorans	RKIM01000002.1
Burkholderia multivorans	RKIM01000003.1
Burkholderia multivorans	RKIM01000004.1
Burkholderia oklahomensis	CP065684.1
Burkholderia oklahomensis	CP065683.1
Burkholderia pseudomallei	CP033704.1
Burkholderia pseudomallei	CP033703.1
Burkholderia pseudomallei	CP033706.1
Burkholderia pseudomallei	CP033705.1
Burkholderia pseudomallei	CP033702.1
Burkholderia pseudomallei	CP033701.1
Burkholderia pseudomallei	CM011864.1
Burkholderia pseudomallei	RKJT01000001.1
Burkholderia pseudomallei	RKJT01000002.1
Burkholderia thailandensis	CP022217.1
Burkholderia thailandensis	CP022216.1
Burkholderia thailandensis	CP022215.1
Burkholderia thailandensis	CP022214.1
Burkholderia thailandensis	CP020391.1
Burkholderia thailandensis	CP020392.1
Burkholderia thailandensis	CP020390.1
Burkholderia thailandensis	CP020389.1
Burkholderia thailandensis	CP023499.1
Burkholderia thailandensis	CP023498.1
Burkholderia thailandensis	NBSS01000001.1
